Freeness,Consistency,Correction
150,0.33,12
160,0.33,13
170,0.33,14
180,0.33,15
190,0.33,15
200,0.33,15
210,0.33,16
220,0.33,16
230,0.33,17
240,0.33,17
250,0.33,18
260,0.33,19
270,0.33,19
280,0.33,19
290,0.33,19
300,0.33,19
310,0.33,19
320,0.33,19
330,0.33,20
340,0.33,20
350,0.33,20
360,0.33,20
370,0.33,20
380,0.33,20
390,0.33,20
400,0.33,20
420,0.33,20
440,0.33,20
460,0.33,20
480,0.33,20
500,0.33,20
520,0.33,19
540,0.33,18
560,0.33,17
580,0.33,16
600,0.33,16
620,0.33,15
640,0.33,15
660,0.33,14
680,0.33,13
700,0.33,13
20,0.34,7
30,0.34,8
40,0.34,9
50,0.34,10
60,0.34,11
70,0.34,12
80,0.34,13
90,0.34,13
100,0.34,14
110,0.34,14
120,0.34,15
130,0.34,15
140,0.34,16
150,0.34,16
160,0.34,17
170,0.34,18
180,0.34,19
190,0.34,19
200,0.34,20
210,0.34,20
220,0.34,21
230,0.34,21
240,0.34,22
250,0.34,23
260,0.34,23
270,0.34,24
280,0.34,25
290,0.34,25
300,0.34,25
310,0.34,25
320,0.34,25
330,0.34,25
340,0.34,26
350,0.34,26
360,0.34,26
370,0.34,26
380,0.34,26
390,0.34,26
400,0.34,26
420,0.34,26
440,0.34,26
460,0.34,26
480,0.34,26
500,0.34,26
520,0.34,25
540,0.34,24
560,0.34,22
580,0.34,22
600,0.34,21
620,0.34,20
640,0.34,20
660,0.34,19
680,0.34,18
700,0.34,18
20,0.35,9
30,0.35,10
40,0.35,12
50,0.35,13
60,0.35,14
70,0.35,15
80,0.35,16
90,0.35,16
100,0.35,17
110,0.35,18
120,0.35,19
130,0.35,20
140,0.35,20
150,0.35,21
160,0.35,22
170,0.35,23
180,0.35,24
190,0.35,24
200,0.35,25
210,0.35,26
220,0.35,26
230,0.35,27
240,0.35,28
250,0.35,29
260,0.35,30
270,0.35,31
280,0.35,31
290,0.35,31
300,0.35,31
310,0.35,31
320,0.35,31
330,0.35,32
340,0.35,32
350,0.35,32
360,0.35,32
370,0.35,32
380,0.35,32
390,0.35,32
400,0.35,32
420,0.35,32
440,0.35,32
460,0.35,32
480,0.35,32
500,0.35,32
520,0.35,30
540,0.35,29
560,0.35,27
580,0.35,27
600,0.35,26
620,0.35,25
640,0.35,25
660,0.35,24
680,0.35,23
700,0.35,22
20,0.36,11
30,0.36,13
40,0.36,14
50,0.36,16
60,0.36,17
70,0.36,18
80,0.36,19
90,0.36,20
100,0.36,21
110,0.36,22
120,0.36,23
130,0.36,24
140,0.36,25
150,0.36,26
160,0.36,27
170,0.36,28
180,0.36,28
190,0.36,29
200,0.36,30
210,0.36,31
220,0.36,32
230,0.36,33
240,0.36,34
250,0.36,35
260,0.36,36
270,0.36,36
280,0.36,36
290,0.36,36
300,0.36,36
310,0.36,37
320,0.36,37
330,0.36,38
340,0.36,38
350,0.36,38
360,0.36,38
370,0.36,38
380,0.36,38
390,0.36,38
400,0.36,38
420,0.36,38
440,0.36,38
460,0.36,38
480,0.36,38
500,0.36,36
520,0.36,35
540,0.36,34
560,0.36,32
580,0.36,32
600,0.36,31
620,0.36,30
640,0.36,29
660,0.36,28
680,0.36,27
700,0.36,26
20,0.37,13
30,0.37,15
40,0.37,17
50,0.37,18
60,0.37,19
70,0.37,21
80,0.37,23
90,0.37,24
100,0.37,25
110,0.37,26
120,0.37,27
130,0.37,28
140,0.37,29
150,0.37,40
160,0.37,31
170,0.37,32
180,0.37,33
190,0.37,33
200,0.37,34
210,0.37,35
220,0.37,36
230,0.37,37
240,0.37,38
250,0.37,39
260,0.37,40
270,0.37,41
280,0.37,41
290,0.37,42
300,0.37,42
310,0.37,43
320,0.37,43
330,0.37,43
340,0.37,44
350,0.37,44
360,0.37,44
370,0.37,44
380,0.37,44
390,0.37,44
400,0.37,44
420,0.37,44
440,0.37,44
460,0.37,44
480,0.37,42
500,0.37,41
520,0.37,40
540,0.37,39
560,0.37,37
580,0.37,37
600,0.37,36
620,0.37,34
640,0.37,33
660,0.37,31
680,0.37,30
700,0.37,29
20,0.38,15
30,0.38,17
40,0.38,19
50,0.38,21
60,0.38,22
70,0.38,24
80,0.38,25
90,0.38,26
100,0.38,27
110,0.38,28
120,0.38,29
130,0.38,31
140,0.38,32
150,0.38,34
160,0.38,35
170,0.38,36
180,0.38,37
190,0.38,38
200,0.38,39
210,0.38,40
220,0.38,41
230,0.38,42
240,0.38,43
250,0.38,44
260,0.38,45
270,0.38,46
280,0.38,47
290,0.38,47
300,0.38,48
310,0.38,48
320,0.38,48
330,0.38,49
340,0.38,49
350,0.38,49
360,0.38,49
370,0.38,49
380,0.38,49
390,0.38,49
400,0.38,49
420,0.38,49
440,0.38,49
460,0.38,49
480,0.38,47
500,0.38,46
520,0.38,45
540,0.38,44
560,0.38,42
580,0.38,42
600,0.38,40
620,0.38,38
640,0.38,37
660,0.38,35
680,0.38,34
700,0.38,33
20,0.39,17
30,0.39,19
40,0.39,21
50,0.39,23
60,0.39,25
70,0.39,27
80,0.39,28
90,0.39,29
100,0.39,30
110,0.39,31
120,0.39,33
130,0.39,35
140,0.39,36
150,0.39,38
160,0.39,39
170,0.39,41
180,0.39,42
190,0.39,43
200,0.39,44
210,0.39,45
220,0.39,46
230,0.39,47
240,0.39,48
250,0.39,49
260,0.39,50
270,0.39,51
280,0.39,52
290,0.39,52
300,0.39,53
310,0.39,53
320,0.39,53
330,0.39,53
340,0.39,54
350,0.39,54
360,0.39,54
370,0.39,54
380,0.39,54
390,0.39,54
400,0.39,54
420,0.39,54
440,0.39,54
460,0.39,53
480,0.39,52
500,0.39,51
520,0.39,50
540,0.39,49
560,0.39,47
580,0.39,46
600,0.39,44
620,0.39,42
640,0.39,41
660,0.39,39
680,0.39,38
700,0.39,37
20,0.4,19
30,0.4,21
40,0.4,23
50,0.4,25
60,0.4,27
70,0.4,29
80,0.4,31
90,0.4,32
100,0.4,34
110,0.4,35
120,0.4,36
130,0.4,38
140,0.4,40
150,0.4,42
160,0.4,43
170,0.4,45
180,0.4,46
190,0.4,47
200,0.4,48
210,0.4,49
220,0.4,50
230,0.4,51
240,0.4,53
250,0.4,54
260,0.4,55
270,0.4,56
280,0.4,57
290,0.4,57
300,0.4,58
310,0.4,58
320,0.4,58
330,0.4,58
340,0.4,59
350,0.4,59
360,0.4,59
370,0.4,59
380,0.4,59
390,0.4,59
400,0.4,59
420,0.4,59
440,0.4,59
460,0.4,58
480,0.4,57
500,0.4,56
520,0.4,55
540,0.4,54
560,0.4,52
580,0.4,50
600,0.4,48
620,0.4,48
640,0.4,46
660,0.4,45
680,0.4,44
700,0.4,42
